Restaurant ID,Restaurant Name,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes
18336494,Dil Pasand Biryani Point,New Delhi,Jama Masjid,77.2350818,28.6470498,Biryani,200,No,No,1,3.5,12
18336495,Dhaba at Atta,Noida,Sector 18,77.32411414,28.56914544,"North Indian, Mughlai",1000,No,Yes,3,3.8,477
18336504,Chai Point,Gurgaon,Sohna Road,77.0443061,28.4057383,"Tea, Fast Food",200,No,Yes,1,3.4,20
18336506,Oh My Scoop!,Noida,Sector 27,77.3283169,28.57453721,"Ice Cream, Beverages",200,No,No,1,3.5,23
18336509,Taco Bell,Gurgaon,"Cyber Hub, DLF Cyber City",77.0883113,28.4942639,"Mexican, Fast Food",550,No,Yes,2,3.8,176
18336529,Nutrition Theka,New Delhi,Lawrence Road,77.1597056,28.6889256,Cafe,500,No,No,2,3.3,12
18337490,Roll Corner,New Delhi,Vijay Nagar,77.2011936,28.6918964,Fast Food,200,No,Yes,1,3.3,12
18337744,Keventers,New Delhi,Green Park,77.2024756,28.5565678,Beverages,250,No,No,1,3.5,16
18337747,Theka Desi Khaana,Gurgaon,DLF Phase 3,77.0948924,28.4932941,"North Indian, Chinese",350,No,Yes,1,3,12
18337757,Cafe Bethak,New Delhi,Delhi University-GTB Nagar,77.2043172,28.6949468,"Cafe, Continental, Chinese",600,No,No,2,3.4,76
18337772,Street Foods by Punjab Grill,New Delhi,"Worldmark 1, Aerocity",77.12179529,28.5503472,"Street Food, North Indian",600,No,No,2,3.2,17
18337775,Jack Po!tato's,New Delhi,Jasola,77.2875272,28.5372187,Fast Food,150,No,No,1,3.3,15
18337779,Kori's,New Delhi,Safdarjung,77.19367238,28.5626823,"Cafe, Korean",600,No,Yes,2,3.6,110
18337782,Sartaj Food Corner,New Delhi,Alaknanda,77.2540755,28.5258419,"North Indian, South Indian, Chinese",500,No,Yes,2,2.8,7
18337788,Mickey's Kitchen,New Delhi,Vasant Kunj,77.165415,28.514649,"Continental, American, Italian",950,No,Yes,2,3.9,191
18337789,Rambhog,New Delhi,"Aggarwal City Mall, Pitampura",77.1345554,28.6900143,"Street Food, Mithai",200,No,No,1,3.3,13
18337880,Chinese King,New Delhi,East Patel Nagar,77.17413515,28.64428733,"North Indian, Mughlai, Chinese",400,No,Yes,1,2.5,6
18337891,Oh Buoy - Flying Fox,Noida,Sector 93,77.381653,28.519906,"Chinese, Fast Food",500,No,No,2,3,7
